Scenario,Sector,Year,Value
BNEF-NEO-ETS_2020,Total,2020,28.15837918
BNEF-NEO-ETS_2020,Total,2021,29.20039995
BNEF-NEO-ETS_2020,Total,2022,30.10702442
BNEF-NEO-ETS_2020,Total,2023,30.21616185
BNEF-NEO-ETS_2020,Total,2024,30.45823135
BNEF-NEO-ETS_2020,Total,2025,30.49466344
BNEF-NEO-ETS_2020,Total,2026,30.72684028
BNEF-NEO-ETS_2020,Total,2027,30.84077701
BNEF-NEO-ETS_2020,Total,2028,30.80436528
BNEF-NEO-ETS_2020,Total,2029,30.75519651
BNEF-NEO-ETS_2020,Total,2030,30.53835435
BNEF-NEO-ETS_2020,Total,2031,30.66165753
BNEF-NEO-ETS_2020,Total,2032,30.36781659
BNEF-NEO-ETS_2020,Total,2033,29.86585966
BNEF-NEO-ETS_2020,Total,2034,29.58212502
BNEF-NEO-ETS_2020,Total,2035,29.15400263
BNEF-NEO-ETS_2020,Total,2036,28.40498131
BNEF-NEO-ETS_2020,Total,2037,27.73761594
BNEF-NEO-ETS_2020,Total,2038,27.05667594
BNEF-NEO-ETS_2020,Total,2039,26.24362829
BNEF-NEO-ETS_2020,Total,2040,25.51476495
BNEF-NEO-ETS_2020,Total,2041,24.74048993
BNEF-NEO-ETS_2020,Total,2042,23.96532082
BNEF-NEO-ETS_2020,Total,2043,23.26544759
BNEF-NEO-ETS_2020,Total,2044,22.92248416
BNEF-NEO-ETS_2020,Total,2045,22.38362183
BNEF-NEO-ETS_2020,Total,2046,21.90104912
BNEF-NEO-ETS_2020,Total,2047,21.2450492
BNEF-NEO-ETS_2020,Total,2048,20.73457518
BNEF-NEO-ETS_2020,Total,2049,20.30394631
BNEF-NEO-ETS_2020,Total,2050,19.88713508
BP-EO-NZ_2020,Total,2020,33.05714286
BP-EO-NZ_2020,Total,2021,32.68571429
BP-EO-NZ_2020,Total,2022,32.31428571
BP-EO-NZ_2020,Total,2023,31.94285714
BP-EO-NZ_2020,Total,2024,31.57142857
BP-EO-NZ_2020,Total,2025,31.2
BP-EO-NZ_2020,Total,2026,30.2
BP-EO-NZ_2020,Total,2027,29.2
BP-EO-NZ_2020,Total,2028,28.2
BP-EO-NZ_2020,Total,2029,27.2
BP-EO-NZ_2020,Total,2030,26.2
BP-EO-NZ_2020,Total,2031,24.3
BP-EO-NZ_2020,Total,2032,22.4
BP-EO-NZ_2020,Total,2033,20.5
BP-EO-NZ_2020,Total,2034,18.6
BP-EO-NZ_2020,Total,2035,16.7
BP-EO-NZ_2020,Total,2036,15.3
BP-EO-NZ_2020,Total,2037,13.9
BP-EO-NZ_2020,Total,2038,12.5
BP-EO-NZ_2020,Total,2039,11.1
BP-EO-NZ_2020,Total,2040,9.7
BP-EO-NZ_2020,Total,2041,8.76
BP-EO-NZ_2020,Total,2042,7.82
BP-EO-NZ_2020,Total,2043,6.88
BP-EO-NZ_2020,Total,2044,5.94
BP-EO-NZ_2020,Total,2045,5
BP-EO-NZ_2020,Total,2046,4.28
BP-EO-NZ_2020,Total,2047,3.56
BP-EO-NZ_2020,Total,2048,2.84
BP-EO-NZ_2020,Total,2049,2.12
BP-EO-NZ_2020,Total,2050,1.4
